No.,Name,Primary Pos,College,Primary Crew (start of season),NFL Experience (including year),Year
126,Brad Rogers,FJ,Lubbock Christian,Morelli,1,2017
50,Aaron Santi,FJ,Southern Oregon,Torbert,3,2017
129,Bill Schuster,U,Alfred,Swing,18,2017
45,Jeff Seeman,LJ,Minnesota,Parry,16,2017
104,Dale Shaw,FJ,Allegheny,Hochuli,5,2017
113,Danny Short,LJ,North Carolina-Charlotte,Triplette,1,2017
14,Shawn Smith,U,Ferris State,Hochuli,3,2017
90,Mike Spanier,DJ,St. Cloud State,Parry,19,2017
12,Greg Steed,BJ,Howard,Morelli,15,2017
84,Mark Steinkerchner,LJ,Akron,Torbert,24,2017
